,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
4,25.5,25000.0,5.0,2.0,6.0,0.5,0.5,24.0,0.0,0.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Kano,Bachelor's Decree,Private Sector Employee,No,,
5,25.5,25000.0,8.0,2.0,6.0,0.5,0.0,24.0,20.0,48.0,16.0,0.0,8.0,0,21-30,"Below N50,000",Bank D,Male,Bank D,Kano,Secondary school leaving certificate,Student,No,,
22,19,25000.0,4.0,6.0,30.0,0.5,0.5,110.0,50.0,160.0,50.0,50.0,20.0,3,18-20,"Below N50,000",Bank A,Female,Bank A,Abeokuta,OND/HND,Student,No,,
24,25.5,25000.0,5.0,0.5,6.0,0.5,0.5,12.0,22.0,-12.0,40.0,0.0,0.0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Student,No,,
32,25.5,25000.0,5.0,2.0,6.0,0.5,0.0,40.0,10.0,58.0,20.0,20.0,0.0,0,21-30,"Below N50,000",Bank O,Female,Bank I,Abeokuta,OND/HND,Student,No,,
33,25.5,25000.0,3.0,2.0,6.0,0.5,0.0,40.0,10.0,48.0,10.0,-10.0,0.0,0,21-30,"Below N50,000",Bank I,Female,Bank I,Abeokuta,OND/HND,Student,No,,
34,25.5,25000.0,4.0,6.0,30.0,0.0,0.5,60.0,40.0,73.0,50.0,20.0,-10.0,3,21-30,"Below N50,000",Bank J,Female,Bank J,Abeokuta,OND/HND,Others,No,,
35,25.5,25000.0,2.0,6.0,30.0,0.0,0.5,40.0,40.0,99.0,40.0,10.0,-10.0,3,21-30,"Below N50,000",Bank K,Female,Bank J,Abeokuta,OND/HND,Others,No,,
41,25.5,25000.0,2.0,2.0,6.0,0.0,0.0,20.0,0.0,35.0,44.0,27.0,10.0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Student,No,,
52,19,25000.0,4.0,6.0,30.0,0.0,30.0,32.0,21.0,-11.0,-23.0,-3.0,-7.0,1,18-20,"Below N50,000",Bank B,Male,,Abeokuta,OND/HND,Student,No,,
65,25.5,25000.0,8.0,2.0,0.5,0.0,0.0,4.0,5.0,26.0,5.0,13.0,1.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,OND/HND,Student,No,,
66,25.5,25000.0,3.0,2.0,0.5,0.0,0.0,-16.0,5.0,35.0,2.0,0.0,0.0,0,21-30,"Below N50,000",Bank F,Male,Bank C,Abeokuta,OND/HND,Student,No,,
67,25.5,25000.0,5.0,2.0,0.5,0.0,0.0,-1.0,-10.0,-45.0,4.0,11.0,1.0,0,21-30,"Below N50,000",Bank G,Male,Bank C,Abeokuta,OND/HND,Student,No,,
68,25.5,25000.0,4.0,2.0,0.5,0.0,0.0,-7.0,-12.0,-45.0,5.0,32.0,1.0,0,21-30,"Below N50,000",Bank B,Male,Bank C,Abeokuta,OND/HND,Student,No,,
88,33,25000.0,3.0,0.5,6.0,0.0,0.5,23.0,4.0,13.0,9.0,4.0,4.0,0,31-35,"Below N50,000",Bank D,Male,,Abeokuta,Bachelor's Decree,Others,No,,
101,25.5,25000.0,3.0,6.0,30.0,2.0,0.5,80.0,50.0,10.0,0.0,-10.0,-10.0,0,21-30,"Below N50,000",Bank H,Male,Bank H,Abeokuta,OND/HND,Student,No,,
102,25.5,25000.0,6.0,6.0,30.0,2.0,0.5,10.0,-10.0,-10.0,0.0,-10.0,-10.0,0,21-30,"Below N50,000",Bank A,Male,Bank H,Abeokuta,OND/HND,Student,No,,
119,25.5,25000.0,1.0,6.0,6.0,0.0,0.0,90.0,30.0,95.0,0.0,9.0,0.0,3,21-30,"Below N50,000",Bank N,Male,Bank N,Abeokuta,OND/HND,Student,No,,
120,25.5,25000.0,5.0,6.0,6.0,0.0,0.0,50.0,10.0,27.0,-20.0,-9.0,10.0,0,21-30,"Below N50,000",Bank E,Male,Bank N,Abeokuta,OND/HND,Student,No,,
121,25.5,25000.0,3.0,6.0,6.0,0.0,0.0,30.0,0.0,26.0,-20.0,-9.0,0.0,0,21-30,"Below N50,000",Bank F,Male,Bank N,Abeokuta,OND/HND,Student,No,,
168,25.5,75000.0,4.0,2.0,6.0,2.0,0.5,39.0,30.0,9.0,0.0,20.0,10.0,0,21-30,"N50,000 - N100,000",Bank D,Male,Bank D,Abeokuta,No Response,Private Sector Employee,No,,
174,25.5,25000.0,3.0,2.0,6.0,0.5,0.5,50.0,10.0,10.0,40.0,0.0,0.0,0,21-30,"Below N50,000",Bank C,Female,Bank K,Abeokuta,OND/HND,Student,No,,
175,25.5,25000.0,6.0,2.0,6.0,0.5,0.5,50.0,20.0,50.0,40.0,20.0,0.0,3,21-30,"Below N50,000",Bank K,Female,Bank K,Abeokuta,OND/HND,Student,No,,
181,25.5,25000.0,4.0,0.5,30.0,0.5,0.5,90.0,10.0,80.0,60.0,10.0,30.0,3,21-30,"Below N50,000",Bank H,Female,Bank H,Abeokuta,OND/HND,Student,No,,
182,19,25000.0,2.0,30.0,30.0,0.0,0.0,120.0,50.0,120.0,0.0,30.0,30.0,3,18-20,"Below N50,000",Bank J,Male,Bank J,Abeokuta,OND/HND,Student,No,,
191,19,25000.0,4.0,0.5,30.0,6.0,0.0,74.0,34.0,124.0,60.0,60.0,30.0,3,18-20,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Student,No,,
193,25.5,25000.0,5.0,2.0,6.0,0.0,0.0,80.0,40.0,45.0,40.0,10.0,10.0,3,21-30,"Below N50,000",Bank H,Male,Bank H,Abeokuta,Bachelor's Decree,Private Sector Employee,No,,
204,25.5,25000.0,6.0,6.0,30.0,0.5,30.0,110.0,39.0,87.0,35.0,4.0,-6.0,1,21-30,"Below N50,000",Bank B,Male,Bank B,Abeokuta,OND/HND,Student,No,,
211,25.5,25000.0,8.0,0.5,6.0,0.5,0.5,-36.0,0.0,-10.0,-15.0,-40.0,-30.0,0,21-30,"Below N50,000",Bank H,Female,,Abeokuta,OND/HND,Self Employed,No,,
212,25.5,25000.0,3.0,0.5,6.0,0.5,0.5,-56.0,-60.0,-44.0,-15.0,-40.0,-30.0,0,21-30,"Below N50,000",Bank A,Female,,Abeokuta,OND/HND,Self Employed,No,,
213,25.5,25000.0,4.0,0.5,2.0,0.5,0.0,23.0,2.0,29.0,20.0,19.0,8.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,OND/HND,Student,No,,
214,25.5,25000.0,1.0,0.5,2.0,0.5,0.0,23.0,2.0,37.0,30.0,19.0,8.0,0,21-30,"Below N50,000",Bank O,Male,Bank C,Abeokuta,OND/HND,Student,No,,
217,25.5,25000.0,4.0,0.5,6.0,2.0,6.0,-2.0,6.0,46.0,27.0,27.0,6.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,OND/HND,Student,No,,
225,38,175000.0,2.0,0.5,6.0,6.0,0.5,60.0,30.0,70.0,20.0,-20.0,-10.0,0,36-40,"N101,000 - N250,000",Bank B,Male,Bank B,Abeokuta,Master's Degree,Civil/Public Servant,No,,
249,25.5,25000.0,7.0,2.0,6.0,0.5,0.5,28.0,0.0,29.0,9.0,0.0,0.0,0,21-30,"Below N50,000",Bank A,Male,Bank A,Abeokuta,OND/HND,Student,Yes,Bank C,Bank E
256,25.5,25000.0,7.0,0.5,6.0,0.5,0.5,21.0,-30.0,-67.0,17.0,-10.0,2.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Abeokuta,OND/HND,Student,No,,
257,25.5,25000.0,4.0,0.5,6.0,0.5,0.5,33.0,-14.0,46.0,27.0,-10.0,2.0,0,21-30,"Below N50,000",Bank N,Male,Bank C,Abeokuta,OND/HND,Student,No,,
296,33,75000.0,6.0,2.0,6.0,0.5,0.5,30.0,18.0,-39.0,20.0,10.0,20.0,0,31-35,"N50,000 - N100,000",Bank G,Male,Bank K,Abeokuta,OND/HND,Private Sector Employee,No,,
297,33,75000.0,3.0,2.0,6.0,0.5,0.5,30.0,18.0,-39.0,20.0,10.0,-10.0,0,31-35,"N50,000 - N100,000",Bank K,Male,Bank K,Abeokuta,OND/HND,Private Sector Employee,No,,
298,25.5,25000.0,5.0,0.5,30.0,0.5,0.5,117.0,36.0,77.0,6.0,16.0,7.0,3,21-30,"Below N50,000",Bank C,Female,Bank C,Abeokuta,OND/HND,Unemployed,No,,
306,33,75000.0,2.0,6.0,6.0,0.5,0.0,42.0,8.0,48.0,10.0,10.0,16.0,0,31-35,"N50,000 - N100,000",Bank J,Male,Bank P,Abeokuta,Bachelor's Decree,Private Sector Employee,No,,
307,33,75000.0,4.0,6.0,6.0,0.5,0.0,42.0,8.0,48.0,10.0,10.0,8.0,0,31-35,"N50,000 - N100,000",Bank P,Male,Bank P,Abeokuta,Bachelor's Decree,Private Sector Employee,No,,
318,19,25000.0,4.0,0.5,2.0,0.5,0.5,63.0,36.0,49.0,36.0,18.0,0.0,3,18-20,"Below N50,000",Bank D,Female,Bank D,Abeokuta,OND/HND,Student,No,,
319,19,25000.0,4.0,0.5,2.0,0.5,0.5,27.0,9.0,39.0,36.0,18.0,0.0,0,18-20,"Below N50,000",Bank A,Female,Bank D,Abeokuta,OND/HND,Student,No,,
320,25.5,25000.0,2.0,6.0,30.0,0.0,0.0,0.0,10.0,50.0,-10.0,10.0,10.0,0,21-30,"Below N50,000",Bank M,Male,Bank M,Abeokuta,OND/HND,Student,Yes,Bank M,Bank B
321,33,75000.0,3.0,6.0,6.0,0.0,0.5,40.0,20.0,47.0,-20.0,-10.0,-10.0,0,31-35,"N50,000 - N100,000",Bank Q,Female,Bank Q,Abeokuta,OND/HND,Private Sector Employee,Yes,Bank O,Bank N
322,33,75000.0,4.0,6.0,30.0,0.5,0.0,20.0,11.0,82.0,-20.0,-10.0,0.0,0,31-35,"N50,000 - N100,000",Bank L,Female,Bank J,Abeokuta,OND/HND,Self Employed,No,,
323,33,75000.0,2.0,6.0,30.0,0.5,0.0,90.0,30.0,95.0,-10.0,0.0,0.0,0,31-35,"N50,000 - N100,000",Bank J,Female,Bank J,Abeokuta,OND/HND,Self Employed,No,,
324,33,75000.0,3.0,6.0,30.0,0.5,0.0,10.0,2.0,64.0,-30.0,10.0,0.0,0,31-35,"N50,000 - N100,000",Bank O,Female,Bank J,Abeokuta,OND/HND,Self Employed,No,,
328,33,75000.0,6.0,6.0,6.0,0.0,0.5,30.0,40.0,69.0,-19.0,-10.0,-10.0,0,31-35,"N50,000 - N100,000",Bank H,Female,Bank G,Abeokuta,OND/HND,Civil/Public Servant,No,,
329,33,75000.0,4.0,6.0,6.0,0.0,0.5,40.0,30.0,59.0,-19.0,-10.0,-10.0,0,31-35,"N50,000 - N100,000",Bank L,Female,Bank G,Abeokuta,OND/HND,Civil/Public Servant,No,,
330,33,75000.0,5.0,6.0,6.0,0.0,0.5,70.0,40.0,49.0,-10.0,-10.0,-10.0,0,31-35,"N50,000 - N100,000",Bank P,Female,Bank G,Abeokuta,OND/HND,Civil/Public Servant,No,,
